iter	Passed	Remaining
450	868	1057
451	869	1054
452	871	1051
453	872	1048
454	875	1048
455	876	1046
456	877	1043
457	879	1040
458	880	1037
459	881	1034
460	882	1031
461	883	1028
462	884	1026
463	886	1023
464	887	1021
465	890	1020
466	892	1018
467	893	1015
468	894	1012
469	895	1010
470	896	1007
471	898	1004
472	899	1001
473	900	999
474	901	996
475	902	993
476	906	994
477	908	991
478	909	989
479	910	986
480	911	983
481	913	981
482	914	978
483	915	976
484	916	973
485	917	970
486	921	970
487	922	968
488	924	965
489	925	962
490	926	960
491	927	957
492	928	955
493	930	952
494	931	950
495	932	947
496	935	947
497	937	944
498	938	942
499	939	939
500	940	936
501	941	934
502	942	931
503	943	929
504	945	926
505	946	923
506	947	921
507	951	921
508	953	919
509	954	916
510	955	914
511	956	911
512	957	909
513	958	906
514	960	904
515	961	901
516	962	899
517	966	899
518	967	896
519	968	894
520	970	891
521	971	889
522	972	886
523	973	884
524	974	881
525	975	879
526	976	876
527	978	874
528	979	872
529	981	869
530	982	867
531	983	865
532	984	862
533	985	860
534	986	857
535	988	855
536	989	852
537	990	850
538	991	848
539	995	848
540	997	846
541	998	843
542	999	841
543	1001	839
544	1002	836
545	1003	834
546	1004	831
547	1005	829
548	1006	826
549	1010	826
550	1011	824
551	1012	822
552	1014	819
553	1015	817
554	1016	815
555	1017	812
556	1019	810
557	1020	808
558	1021	805
559	1024	804
560	1026	803
561	1027	800
562	1028	798
563	1029	796
564	1030	793
565	1032	791
566	1033	789
567	1034	786
568	1035	784
569	1036	782
570	1041	782
571	1043	780
572	1044	778
573	1045	775
574	1046	773
575	1047	771
576	1048	768
577	1050	766
578	1051	764
579	1052	761
580	1056	761
581	1057	759
582	1058	757
583	1060	755
584	1061	752
585	1062	750
586	1063	748
587	1064	745
588	1065	743
589	1066	741
590	1070	740
591	1072	738
592	1073	736
593	1074	734
594	1075	732
595	1076	729
596	1077	727
597	1079	725
598	1080	723
599	1081	720
600	1082	718
601	1087	718
602	1088	716
603	1089	714
604	1090	712
605	1091	709
606	1093	707
607	1094	705
608	1095	703
609	1096	701
610	1097	698
611	1101	698
612	1103	696
613	1104	694
614	1105	692
615	1107	690
616	1108	687
617	1109	685
618	1110	683
619	1111	681
620	1112	679
621	1116	678
622	1118	676
623	1119	674
624	1120	672
625	1121	669
626	1122	667
627	1123	665
628	1125	663
629	1126	661
630	1128	659
631	1132	659
632	1134	657
633	1135	655
634	1136	653
635	1138	651
636	1139	649
637	1140	647
638	1141	644
639	1142	642
640	1145	641
641	1147	639
642	1148	637
643	1149	635
644	1150	633
645	1151	631
646	1152	629
647	1154	626
648	1155	624
649	1156	622
650	1157	620
651	1158	618
652	1160	616
653	1161	614
654	1162	612
655	1163	610
656	1164	608
657	1165	606
658	1167	603
659	1168	601
660	1169	599
661	1170	597
662	1171	595
663	1175	594
664	1176	592
665	1178	590
666	1179	588
667	1180	586
668	1181	584
669	1182	582
670	1183	580
671	1184	578
672	1186	576
673	1188	574
674	1190	573
675	1192	571
676	1193	569
677	1195	567
678	1196	565
679	1197	563
680	1198	561
681	1199	559
682	1200	557
683	1201	555
684	1204	553
685	1205	551
686	1206	549
687	1207	547
688	1209	545
689	1210	543
690	1211	541
691	1212	539
692	1213	537
693	1214	535
694	1219	535
695	1220	533
696	1221	531
697	1223	529
698	1224	527
699	1225	525
700	1226	523
701	1227	521
702	1228	519
703	1229	517
704	1233	516
705	1235	514
706	1236	512
707	1237	510
708	1238	508
709	1239	506
710	1240	504
711	1242	502
712	1243	500
713	1244	498
714	1245	496
715	1249	495
716	1251	493
717	1252	491
718	1253	489
719	1254	487
720	1255	485
721	1256	483
722	1258	482
723	1259	480
724	1260	478
725	1265	477
726	1267	475
727	1268	473
728	1269	471
729	1270	469
730	1271	467
731	1272	465
732	1273	464
733	1274	462
734	1276	460
735	1278	458
736	1279	456
737	1281	454
738	1282	452
739	1283	450
740	1284	449
741	1285	447
742	1286	445
743	1288	443
744	1289	441
745	1292	440
746	1294	438
747	1295	436
748	1296	434
749	1298	432
750	1299	430
751	1300	428
752	1301	426
753	1302	424
754	1303	423
755	1307	421
756	1308	420
757	1310	418
758	1311	416
759	1312	414
760	1313	412
761	1314	410
762	1315	408
763	1316	406
764	1318	404
765	1319	403
766	1323	402
767	1324	400
768	1326	398
769	1327	396
770	1328	394
771	1329	392
772	1330	390
773	1331	388
774	1332	386
775	1333	385
776	1335	383
777	1337	381
778	1338	379
779	1339	377
780	1340	375
781	1341	374
782	1342	372
783	1344	370
784	1345	368
785	1346	366
786	1347	364
787	1351	363
788	1352	361
789	1353	359
790	1354	358
791	1356	356
792	1357	354
793	1358	352
794	1359	350
795	1360	348
796	1361	346
797	1362	345
798	1367	343
799	1368	342
800	1369	340
801	1370	338
802	1372	336
803	1373	334
804	1374	332
805	1375	331
806	1376	329
807	1377	327
808	1381	326
809	1383	324
810	1384	322
811	1386	320
812	1387	319
813	1388	317
814	1389	315
815	1390	313
816	1392	311
817	1393	309
818	1396	308
819	1398	306
820	1399	305
821	1400	303
822	1401	301
823	1402	299
824	1404	297
825	1405	296
826	1406	294
827	1407	292
828	1408	290
829	1412	289
830	1413	287
831	1414	285
832	1415	283
833	1417	282
834	1418	280
835	1419	278
836	1420	276
837	1421	274
838	1422	272
839	1423	271
840	1427	269
841	1428	268
842	1430	266
843	1431	264
844	1432	262
845	1433	260
846	1434	259
847	1435	257
848	1437	255
849	1438	253
850	1442	252
851	1443	250
852	1444	248
853	1445	247
854	1447	245
855	1448	243
856	1449	241
857	1450	240
858	1451	238
859	1452	236
860	1456	235
861	1458	233
862	1460	231
863	1461	230
864	1462	228
865	1463	226
866	1464	224
867	1465	222
868	1469	221
869	1471	219
870	1472	218
871	1474	216
872	1475	214
873	1476	212
874	1477	211
875	1478	209
876	1479	207
877	1481	205
878	1483	204
879	1484	202
880	1485	200
881	1487	198
882	1488	197
883	1489	195
884	1490	193
885	1491	191
886	1492	190
887	1494	188
888	1499	187
889	1501	185
890	1502	183
891	1503	182
892	1505	180
893	1506	178
894	1507	176
895	1509	175
896	1512	173
897	1514	172
898	1515	170
899	1516	168
900	1518	166
901	1519	165
902	1520	163
903	1522	161
904	1523	159
905	1524	158
906	1528	156
907	1530	155
908	1531	153
909	1532	151
910	1533	149
911	1535	148
912	1536	146
913	1537	144
914	1538	142
915	1539	141
916	1540	139
917	1543	137
918	1544	136
919	1545	134
920	1546	132
921	1547	130
922	1548	129
923	1549	127
924	1549	125
925	1550	123
926	1552	122
927	1553	120
928	1554	118
929	1555	117
930	1557	115
931	1559	113
932	1561	112
933	1562	110
934	1564	108
935	1565	107
936	1566	105
937	1567	103
938	1568	101
939	1572	100
940	1573	98
941	1574	96
942	1576	95
943	1577	93
944	1578	91
945	1579	90
946	1580	88
947	1582	86
948	1583	85
949	1586	83
950	1588	81
951	1589	80
952	1590	78
953	1591	76
954	1593	75
955	1594	73
956	1595	71
957	1596	69
958	1597	68
959	1598	66
960	1602	65
961	1603	63
962	1604	61
963	1604	59
964	1605	58
965	1606	56
966	1607	54
967	1608	53
968	1609	51
969	1611	49
970	1612	48
971	1613	46
972	1617	44
973	1619	43
974	1620	41
975	1621	39
976	1622	38
977	1623	36
978	1624	34
979	1625	33
980	1627	31
981	1628	29
982	1629	28
983	1631	26
984	1633	24
985	1634	23
986	1635	21
987	1636	19
988	1638	18
989	1639	16
990	1640	14
991	1641	13
992	1642	11
993	1644	9
994	1646	8
995	1647	6
996	1648	4
997	1649	3
998	1650	1
999	1652	0
